,fpr,tpr,trial
16958,0.076,0.471,random-split
16959,0.076,0.471,random-split
16960,0.076,0.471,random-split
16961,0.077,0.471,random-split
16962,0.077,0.471,random-split
16963,0.077,0.471,random-split
16964,0.077,0.472,random-split
16965,0.077,0.472,random-split
16966,0.077,0.472,random-split
16967,0.077,0.472,random-split
16983,0.078,0.474,random-split
16968,0.077,0.472,random-split
16970,0.077,0.473,random-split
16971,0.077,0.473,random-split
16972,0.077,0.473,random-split
16973,0.077,0.473,random-split
16974,0.077,0.473,random-split
16975,0.077,0.473,random-split
16976,0.077,0.473,random-split
16977,0.077,0.473,random-split
16978,0.077,0.474,random-split
16979,0.077,0.474,random-split
16980,0.077,0.474,random-split
16981,0.078,0.474,random-split
16969,0.077,0.472,random-split
17013,0.079,0.478,random-split
17014,0.079,0.479,random-split
17015,0.079,0.479,random-split
17047,0.081,0.483,random-split
17048,0.081,0.483,random-split
17049,0.081,0.483,random-split
17050,0.081,0.483,random-split
17051,0.081,0.483,random-split
17052,0.081,0.484,random-split
17053,0.081,0.484,random-split
17054,0.081,0.484,random-split
17055,0.081,0.484,random-split
17056,0.081,0.484,random-split
17057,0.081,0.484,random-split
17058,0.081,0.485,random-split
17046,0.081,0.483,random-split
17059,0.081,0.485,random-split
17061,0.081,0.485,random-split
17062,0.081,0.485,random-split
17063,0.081,0.485,random-split
17064,0.081,0.485,random-split
17065,0.081,0.485,random-split
17066,0.081,0.486,random-split
17067,0.082,0.486,random-split
